Largest Z = 90
time = 1e-20
t9 = 10
rho = 1.5e+06
Ye = 0.33
Yh = 0
Yh_nse = 6.19673e-13
0 6.700000e-01 6.690374e-01 6.690374e-01
1 3.300000e-01 3.290668e-01 3.290668e-01
2 0.000000e+00 4.666217e-04 4.666217e-04
3 0.000000e+00 2.374052e-13 0.000000e+00
4 0.000000e+00 3.822653e-13 0.000000e+00
5 0.000000e+00 1.095487e-18 0.000000e+00
6 0.000000e+00 8.831811e-19 0.000000e+00
7 0.000000e+00 2.583321e-23 0.000000e+00
8 0.000000e+00 1.572067e-24 0.000000e+00
9 0.000000e+00 2.193799e-29 0.000000e+00
10 0.000000e+00 2.811670e-31 0.000000e+00
11 0.000000e+00 8.336407e-35 0.000000e+00
12 0.000000e+00 6.160571e-36 0.000000e+00
13 0.000000e+00 2.789751e-39 0.000000e+00
14 0.000000e+00 1.895788e-40 0.000000e+00
15 0.000000e+00 4.542393e-44 0.000000e+00
16 0.000000e+00 2.232405e-46 0.000000e+00
17 0.000000e+00 7.669627e-50 0.000000e+00
18 0.000000e+00 2.095567e-52 0.000000e+00
19 0.000000e+00 7.492750e-56 0.000000e+00
20 0.000000e+00 1.868842e-58 0.000000e+00
21 0.000000e+00 4.988211e-62 0.000000e+00
22 0.000000e+00 1.885219e-64 0.000000e+00
23 0.000000e+00 3.205751e-67 0.000000e+00
24 0.000000e+00 1.098835e-69 0.000000e+00
25 0.000000e+00 1.766092e-72 0.000000e+00
26 0.000000e+00 3.986645e-75 0.000000e+00
27 0.000000e+00 3.415780e-78 0.000000e+00
28 0.000000e+00 2.832979e-81 0.000000e+00
29 0.000000e+00 5.531576e-85 0.000000e+00
30 0.000000e+00 1.178725e-88 0.000000e+00
31 0.000000e+00 1.449822e-92 0.000000e+00
32 0.000000e+00 1.415530e-96 0.000000e+00
33 0.000000e+00 1.521341e-100 0.000000e+00
34 0.000000e+00 1.792448e-104 0.000000e+00
35 0.000000e+00 2.326997e-108 0.000000e+00
36 0.000000e+00 4.811913e-112 0.000000e+00
37 0.000000e+00 6.006813e-116 0.000000e+00
38 0.000000e+00 1.572058e-119 0.000000e+00
39 0.000000e+00 1.688922e-123 0.000000e+00
